POSIX,Digital Pins,Light State,Wheel Analog,Sync Pulse,Camera Pulse
1740614039802337,255,1,3.575,1,1
1740614039821944,255,1,3.582,1,1
1740614039841551,255,1,3.571,1,1
1740614039861158,255,1,3.571,1,1
1740614039880765,255,1,3.571,1,1
1740614039900372,255,1,3.583,1,1
1740614039919979,255,1,3.582,1,1
1740614039939586,255,1,3.572,1,1
1740614039959193,255,1,3.570,1,1
1740614039978800,255,1,3.571,1,1
1740614039998407,255,1,3.581,1,1
1740614040018014,255,1,3.578,1,1
1740614040037621,255,1,3.561,1,1
1740614040057228,255,1,3.572,1,1
1740614040076835,255,1,3.571,1,1
1740614040096442,255,1,3.582,1,1
1740614040116049,255,1,3.582,1,1
1740614040135656,255,1,3.582,1,1
1740614040155263,255,1,3.572,1,1
1740614040174870,255,1,3.571,1,1
1740614040194477,255,1,3.582,1,1
1740614040214084,255,1,3.582,1,1
1740614040233691,255,1,3.582,1,1
1740614040253298,255,1,3.563,1,1
1740614040272905,255,1,3.571,1,1
1740614040292512,255,1,3.582,1,1
1740614040312119,255,1,3.583,1,1
1740614040331726,255,1,3.582,1,1
1740614040351333,223,1,3.571,1,1
1740614040370940,255,1,3.571,1,1
1740614040390547,255,1,3.582,1,1
1740614040410154,255,1,3.587,1,1
1740614040429761,255,1,3.582,1,1
1740614040449368,255,1,3.571,1,1
1740614040468975,255,1,3.565,1,1
1740614040488582,255,1,3.582,1,1
1740614040508189,255,1,3.582,1,1
1740614040527796,255,1,3.582,1,1
1740614040547403,255,1,3.573,1,1
1740614040567010,255,1,3.570,1,1
1740614040586617,255,1,3.582,1,1
1740614040606224,255,1,3.581,1,1
1740614040625831,255,1,3.582,1,1
1740614040645438,255,1,3.571,1,1
1740614040665045,255,1,3.570,1,1
1740614040684652,255,1,3.569,1,1
1740614040704259,255,1,3.579,1,1
1740614040723866,255,1,3.579,1,1
1740614040743473,255,1,3.571,1,1
1740614040763080,255,1,3.570,1,1
1740614040782687,255,1,3.571,1,1
1740614040802294,223,1,3.578,1,1
1740614040821901,255,1,3.579,1,1
1740614040841508,255,1,3.570,1,1
1740614040861115,255,1,3.571,1,1
1740614040880722,255,1,3.572,1,1
1740614040900329,255,1,3.577,1,1
1740614040919936,255,1,3.579,1,1
1740614040939543,255,1,3.572,1,1
1740614040959150,255,1,3.571,1,1
1740614040978757,255,1,3.570,1,1
1740614040998364,255,1,3.578,1,1
1740614041017971,255,1,3.578,1,1
1740614041037578,255,1,3.571,1,1
1740614041057185,255,1,3.571,1,1
1740614041076792,255,1,3.571,1,1
1740614041096399,255,1,3.580,1,1
1740614041116006,255,1,3.579,1,1
1740614041135613,255,1,3.575,1,1
1740614041155220,255,1,3.571,1,1
1740614041174827,255,1,3.571,1,1
1740614041194434,255,1,3.578,1,1
1740614041214041,255,1,3.578,1,1
1740614041233648,255,1,3.578,1,1
1740614041253255,255,1,3.571,1,1
1740614041272862,255,1,3.571,1,1
1740614041292469,255,1,3.578,1,1
1740614041312076,255,1,3.580,1,1
1740614041331683,255,1,3.580,1,1
1740614041351290,255,1,3.569,1,1
1740614041370897,255,1,3.570,1,1
